9
443	677	826	938	1032	0	0	0	0	0	1490	2085	2344	2515	2725	0.65	0.65	0.65	0.65	0.65	1040	1524	1807	2009	2197	45967.29	45967.29	45967.29	45967.29	45967.29	1	1	1	1	1	10	37	40	50	50	16	113	130	135	150
430	737	899	1022	1124	0	0	0	0	0	1455	2389	2686	2882	3122	0.67	0.67	0.67	0.67	0.67	1002	1703	2022	2253	2464	40733.16	40733.16	40733.16	40733.16	40733.16	1	1	1	1	1	44	65	70	80	100	53	293	340	360	375
727	889	1084	1232	1356	0	0	0	0	0	2077	2432	2734	2935	3178	1.04	1.04	1.04	1.04	1.04	1680	1944	2297	2552	2789	37015.96	37015.96	37015.96	37015.96	37015.96	1	1	1	1	1	30	60	60	100	120	23	52	65	40	30
1146	1578	1850	2100	2300	0	0	0	0	0	3588	4668	5000	5400	5900	0.82	0.82	0.82	0.82	0.82	2677	3602	4093	4563	4992	45632.26	45632.26	45632.26	45632.26	45632.26	1	1	1	1	1	5	5	5	10	10	45	115	135	140	150
366	431	470	520	565	0	0	0	0	0	1238	1289	1303	1335	1466	0.7	0.7	0.7	0.7	0.7	896	990	1053	1133	1236	39083.78	39083.78	39083.78	39083.78	39083.78	1	1	1	1	1	0	0	0	10	10	16	43	65	70	70
646	725	792	870	955	0	0	0	0	0	2100	2177	2201	2256	2476	0.61	0.61	0.61	0.61	0.61	1581	1668	1775	1902	2088	33621.37	33621.37	33621.37	33621.37	33621.37	1	1	1	1	1	5	5	5	10	20	31	128	195	240	250
117	172	188	210	230	0	0	0	0	0	352	491	496	509	558	0.45	0.45	0.45	0.45	0.45	287	389	414	448	491	31994.52	31994.52	31994.52	31994.52	31994.52	1	1	1	1	1	25	30	45	70	90	23	276	420	500	560
66	97	135	160	170	0	0	0	0	0	216	311	394	443	465	0.4	0.4	0.4	0.4	0.4	157	229	309	360	381	30378.19	30378.19	30378.19	30378.19	30378.19	1	1	1	1	1	0	16	20	20	20	52	20	20	20	25
228	342	470	560	590	0	0	0	0	0	785	1128	1429	1607	1687	0.88	0.88	0.88	0.88	0.88	565	815	1090	1274	1340	26914.43	26914.43	26914.43	26914.43	26914.43	1	1	1	1	1	40	60	65	65	70	53	101	110	120	130
743	1190	1640	1955	2070	0	0	0	0	0	2501	3807	4822	5421	5690	0.85	0.85	0.85	0.85	0.85	1842	2812	3771	4406	4650	29841.78	29841.78	29841.78	29841.78	29841.78	1	1	1	1	1	20	80	90	90	90	277	400	430	455	500
