20380
7393
1200
1165
21
95	43	5449	9	0.53	32.12	1	2400	168.63	0.0165	1	-1	0	0	110280.66	0	0.00	2	0	0	0
96	43	5461	9	0.51	31.88	1	2400	53.53	0.0160	1	-1	0	0	112076.24	0	0.00	2	0	0	0
97	44	1378	9	0.29	32.22	1	2400	17.00	0.0090	1	-1	0	0	100448.02	0	0.00	2	1	0	1
98	45	5446	9	0.38	32.11	1	2400	67.89	0.0118	1	-1	0	0	103642.92	0	0.00	2	0	0	1
99	45	5448	9	0.49	31.96	1	2400	28.36	0.0153	1	-1	0	0	105101.70	0	0.00	2	0	0	1
100	46	5444	9	0.40	26.09	1	2400	257.00	0.0153	1	-1	0	0	97077.08	0	0.00	2	0	0	1
101	47	5453	9	0.24	26.18	1	2400	28.04	0.0092	1	-1	0	0	101330.68	0	0.00	2	0	0	0
102	47	6677	9	0.21	26.25	1	2400	94.63	0.0080	1	-1	0	0	101717.54	0	0.00	2	0	0	0
103	48	5453	9	0.27	26.13	1	2400	100.00	0.0103	1	-1	0	0	100870.56	0	0.00	2	0	0	0
104	49	1376	9	0.56	26.05	1	2400	92.12	0.0215	1	-1	0	0	90216.96	0	0.00	2	0	0	0
105	49	5742	9	0.37	26.12	1	2400	122.56	0.0142	1	-1	0	0	91087.40	0	0.00	2	0	0	0
106	49	6676	9	0.49	26.02	1	2400	7.43	0.0188	1	-1	0	0	91066.16	0	0.00	2	0	0	0
107	50	5442	9	0.37	26.12	1	2400	204.23	0.0142	1	-1	0	0	87336.16	0	0.00	2	0	0	0
108	50	5742	9	0.55	25.98	1	2400	393.41	0.0212	1	-1	0	0	89069.84	0	0.00	2	0	0	1
109	50	6675	9	0.61	25.96	1	2400	489.49	0.0235	1	-1	0	0	86257.08	0	0.00	2	0	0	0
110	51	5442	9	0.11	23.57	1	2400	47.29	0.0047	1	-1	0	0	87096.80	0	0.00	2	0	0	0
111	51	6674	9	0.17	23.72	1	2400	38.11	0.0072	1	-1	0	0	86836.16	0	0.00	2	0	0	0
112	52	5385	9	0.23	26.04	1	2400	13.37	0.0088	1	-1	0	0	89210.46	0	0.00	2	0	0	0
113	52	5744	9	0.20	26.09	1	2400	70.63	0.0077	1	-1	0	0	89151.10	0	0.00	2	0	0	0
