7
762	51845.55	1960	4.616	1244	25365.22044	3
319	52078.06	719	4.521	524	26315.91973	3
0	51339.88	0	0	0	24896.68322	3
0	55276.07	0	0	0	24489.73491	3
403	55229.80	708	11.969	584	24202.25222	3
787	55403.81	1767	4.217	1259	21887.63452	3
1598	54997.59	4563	3.287	2959	21481.65479	3
1672	58558.13	3990	4.266	2993	38840.69067	3
2300	69221.34	5946	3.781	4410	26031.65268	3
1067	80193.18	3053	3.327	2082	27097.11981	3
2210	62215.98	6244	3.126	4027	35451.93373	3
1985	62363.62	5326	3.332	3636	28354.92695	3
946	87013.41	2802	2.108	1992	26107.6458	3
1068	89184.70	2893	1.678	2152	24649.24889	3
1150	46725.95	2841	4.132	1865	23943.52002	3
196	90957.53	598	1.748	422	25028.70804	3
1754	81303.49	5546	2.222	3571	25453.28964	3
1996	84177.74	6288	1.862	4276	23487.4559	3
1439	70738.93	4592	2.924	3259	27458.54217	3
2549	77275.56	8074	1.921	5372	23954.87303	3
663	72312.48	1682	1.373	1370	24243.26547	3
16	81157.54	40	1.108	36	34446.12219	3
25	81380.78	64	0.858	57	22336.21885	3
17	81373.20	53	0.205	41	24340.11432	3
97	77346.02	277	0.725	228	29421.76936	3
154	63001.41	436	0.585	333	32127.95362	3
126	65500.59	429	0.426	299	30822.91969	3
3280	65874.56	9098	3.406	6904	36164.59159	3
1588	47697.58	4252	3.812	3212	35182.01714	3
500	45555.40	1146	3.428	972	35500.92626	3
1272	45692.41	3705	4.01	2687	36107.92927	3
1122	71549.01	2816	3.874	2051	22084.52788	3
180	78636.99	533	2.37	333	22066.77719	3
1541	80751.63	4651	2.224	3132	22465.26531	3
3199	87275.29	10460	1.986	7754	21129.27635	3
1916	93067.39	6481	2.27	4212	19266.6279	3
596	96078.18	1746	2.151	1272	17578.53353	3
555	96687.18	1675	2.101	1174	17520.46917	3
1613	61435.85	3910	2.962	2895	21168.14384	3
1581	60749.55	4051	3.981	2685	21272.77092	3
3489	50529.06	7479	4.95	5275	18557.64998	3
165	47852.97	269	6.615	235	17767.80799	3
1486	74689.29	4016	2.813	2864	18143.2189	3
1358	53541.87	3082	5.03	2075	15917.26723	3
1789	68891.21	4767	3.305	3554	15068.79037	3
336	68506.46	1076	2.145	703	14422.45532	3
20	68087.51	47	0.816	37	13317.93801	3
2	68229.00	5	0.354	4	15403.80982	3
205	66624.11	452	9.565	331	14103.02461	3
